GAIA_ID	field	flag_old	flag_new	T_depth [%]	radius_gspp	phot_g_mea	teff_gspphot	teff_gspphot	teff_gspphot	teff_gspphot	logg_gspphot	radius_gspp	radius_gspp	n_events	flags	n_transits	GS_01	GS_0_U	GS_23	dates	sc	gs															
423026756506669952	Sp0011+5908	transit	transit, long period, check TESS	1		12.42094231				0				2	extendedsource \\ moving	
5469802724480366848	Sp1045-2607	SPEC target tra	transit review later			17.30469131				0					41	32	6	9	20200225 \\ 	11.2 \\ 19.4 \	3 \\ 1 \\ 1 \\ 0 \\ 3 \\ 0 \\ 0 \\ 3 \\ 2 \\ 2 \\ 1 \\ 1 \\ 2 \\ 0 \\ 2 \\ 0 \\ 2 \\ 0 \\ 1 \\ 0 \\ 1 \\ 2 \\ 1 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0	
5235273458327588224	Sp1115-6731	SPEC target tra	transit review later			16.38501358				0					45	43	0	2	20210302 \\ 	11.9 \\ 12.4 \	2 \\ 2 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0	
763969850397037952	Sp1122+3755	transit	transit, check TESS	5	0.197699994	18.77361107	3173.303223	3169.591309	3178.141113	4.274902344	4.770899773	0.206599995	0.214000002		2	2	1	0	20210402 \\ 	28.2 \\ 17.1	0 \\ 0	
3493736924979792768	Sp1155-2224	SPEC target tra	transit review later			15.09661865				0					52	48	0	4	20210401 \\ 	12.6 \\ 12.7 \	3 \\ 2 \\ 2 \\ 1 \\ 2 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0	
6057069339664907776	Sp1255-5928	transit	transit, likely EB, check TESS	5		13.55067635				0				8	needcheckHP \\ needcheckHP \\ needcheckHP \\ needcheckLP \\ needcheckHP \\ needcheckHP \\ needcheckLP \\ needcheckHP	
5872182405008556288	Sp1359-5636	transit	transit, check TESS	5	0.543799996	17.28530312	5264.742676	5200.477539	5417.916992	108.7197266	4.716800213	0.563000023	0.606100023	2	needcheckHP \\ dustpetal	
6119528334597735296	Sp1424-3514	SPEC target tra	transit review later			15.77098846				0					16	11	7	5	20180529 \\ 	22.9 \\ 21.7 \	0 \\ 0 \\ 0 \\ 3 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 3 \\ 1 \\ 1 \\ 2 \\ 2 \\ 2 \\ 1	
1287312100751643776	Sp1428+3310	SPEC target tra	transit review later			16.60913849				0					21	13	2	8	20190509 \\ 	17.8 \\ 11.9 \	0 \\ 3 \\ 1 \\ 2 \\ 1 \\ 0 \\ 2 \\ 1 \\ 2 \\ 2 \\ 1 \\ 1 \\ 3 \\ 1 \\ 0 \\ 1 \\ 0 \\ 3 \\ 0 \\ 0 \\ 2	
6225138041345032448	Sp1456-2809	transit	transit, check TESS	2	0.601800025	15.71160126	3669.755859	3636.359375	3692.446045	28.04333496	4.580900192	0.618300021	0.627799988		2	2	2	0	20180314 \\ 	43.2 \\ 52.0	0 \\ 0	
1612801833587498240	Sp1457+5639	SPEC target tra	transit review later		0.145600006	13.57297516	2912.972656	2912.061279	2913.697021	0.817871094	5.186900139	0.145899996	0.146200001		10	10	1	0	20230419 \\ 	32.7 \\ 16.1 \	0 \\ 0 \\ 1 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0	
